"city","mode","Nil distance","Over 0 km  to less than 0.5 km","0.5 km to less than 1 km","1 km to less than 1.5 km","1.5 km to less than 2 km","2 km to less than 2.5 km","2.5 km to less than 3 km","3 km to less than 4 km","4 km to less than 5 km","5 km to less than 6 km","6 km to less than 7 km","7 km to less than 8 km","8 km to less than 9 km","9 km to less than 10 km","10 km to less than 11 km","11 km to less than 12 km","12 km to less than 13 km","13 km to less than 14 km","14 km to less than 15 km","15 km to less than 16 km","16 km to less than 17 km","17 km to less than 18 km","18 km to less than 19 km","19 km to less than 20 km","20 km to less than 21 km","21 km to less than 22 km","22 km to less than 23 km","23 km to less than 24 km","24 km to less than 25 km","25 km to less than 26 km","26 km to less than 27 km","27 km to less than 28 km","28 km to less than 29 km","29 km to less than 30 km","30 km to less than 32 km","32 km to less than 34 km","34 km to less than 36 km","36 km to less than 38 km","38 km to less than 40 km","40 km to less than 42 km","42 km to less than 44 km","44 km to less than 46 km","46 km to less than 48 km","48 km to less than 50 km","50 km to less than 52 km","52 km to less than 54 km","54 km to less than 56 km","56 km to less than 58 km","58 km to less than 60 km","60 km to less than 62 km","62 km to less than 64 km","64 km to less than 66 km","66 km to less than 68 km","68 km to less than 70 km","70 km to less than 72 km","72 km to less than 74 km","74 km to less than 76 km","76 km to less than 78 km","78 km to less than 80 km","80 km to less than 85 km","85 km to less than 90 km","90 km to less than 95 km","95 km to less than 100km","100 km to less than 110 km","110 km to less than 120 km","120 km to less than 130 km","130 km to less than 140 km","140 km to less than 150 km","150 km to less than 200 km","200 km to less than 250 km","250 km to less than 300 km","300 km to less than 350 km","350 km to less than 400 km","400 km to less than 600 km","600 km to less than 800 km","800 km to less than 1000 km","1000 km to less than 3000 km","3000 km and over","Not applicable",
"Perth","PT",319,122,151,384,938,1115,1262,2809,3148,3461,3257,2635,2291,2224,2201,2097,1872,1641,2102,2183,1964,1638,1563,1439,1424,1146,1084,1079,1009,1207,1079,709,564,512,705,505,694,642,652,417,282,381,669,537,391,240,264,215,265,200,96,160,148,152,162,133,111,143,67,146,73,30,21,36,22,23,11,4,11,11,5,15,48,248,123,509,4482,802,1150,
,"CAR",12790,2455,3816,5917,7651,8468,9144,19656,19275,19372,18478,17748,17341,16434,16850,16314,15336,14148,13880,13556,12853,11400,10640,9883,9247,8410,7795,7402,7142,6845,6115,5541,4881,4428,7914,6037,4822,4331,3567,2866,2393,2107,1969,1754,1452,1256,964,961,895,741,654,534,497,465,414,421,378,303,256,507,354,273,248,321,219,204,122,88,430,223,174,72,89,523,289,635,3371,1481,21742,
,"BIKE",88,63,147,313,414,390,377,800,729,695,531,449,347,273,243,230,185,180,171,172,110,87,56,49,42,42,40,31,28,21,27,13,13,14,25,12,7,10,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,6,7,44,24,94,
,"WALK",1083,1688,2716,2212,1733,1137,727,775,434,222,117,93,58,52,55,39,41,33,38,37,32,25,25,22,16,26,13,12,19,13,16,7,8,11,15,9,17,15,13,10,4,4,8,18,5,5,7,3,5,4,0,3,0,3,0,8,0,4,0,6,4,13,4,14,5,10,5,0,33,20,28,10,17,83,36,100,864,393,419,
"Adelaide","PT",277,89,95,212,328,507,768,2169,3103,3402,3290,3234,2866,2684,2709,2313,1903,1851,1845,1869,1478,1406,1198,1088,1242,1112,969,830,452,315,278,266,353,320,721,501,646,327,375,204,206,132,126,31,33,25,10,0,3,3,0,0,0,0,0,0,0,4,0,10,4,6,0,4,0,6,0,0,5,44,3,3,15,127,174,33,326,250,561,
,"CAR",10260,2922,4131,6007,7439,8347,9246,19722,20823,21695,21595,20838,19378,18860,17457,16190,15237,13819,12757,11924,11119,9824,9032,8244,7744,7222,6456,5684,4948,4237,3726,3501,3107,2839,5166,4615,4171,3297,2675,2142,1895,1567,1225,858,678,604,441,313,266,228,204,186,154,150,127,121,154,108,107,215,183,107,61,83,69,52,64,63,172,203,113,110,184,485,679,112,1448,323,22072,
,"BIKE",55,38,92,216,266,307,369,846,773,743,580,487,304,245,206,188,144,117,80,76,72,49,46,34,44,19,31,12,13,14,14,9,9,6,5,9,4,3,6,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,10,11,6,25,13,79,
,"WALK",750,1572,2241,1926,1387,958,700,812,407,230,128,99,66,55,54,43,38,27,35,31,27,11,17,35,43,32,15,10,16,12,4,8,4,8,17,15,7,18,15,7,6,9,5,6,4,0,6,0,5,0,0,0,0,0,0,5,0,0,4,3,0,3,0,6,6,5,3,4,9,22,16,9,18,39,106,82,381,84,199,
"Ballarat","PT",17,7,9,12,21,23,35,60,47,65,51,35,34,24,31,11,5,3,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,3,5,5,174,564,46,10,6,0,0,0,0,0,0,0,3,0,13,25,
,"CAR",668,218,490,849,1229,1298,1539,3047,3278,3531,2948,2372,1790,1496,1064,769,616,432,358,278,194,148,113,70,81,50,33,52,20,20,17,15,20,26,37,46,49,61,38,72,95,56,74,36,40,19,29,33,33,41,49,40,36,25,28,33,28,37,32,85,167,183,135,346,411,125,77,43,89,19,11,12,7,9,20,34,35,18,1558,
,"BIKE",3,3,9,21,27,32,26,35,31,32,29,12,7,3,6,6,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"WALK",55,152,259,249,176,102,61,51,20,31,16,8,10,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,18,7,5,0,3,0,0,5,0,5,3,5,4,4,12,
"Canberra","PT",58,16,32,76,144,181,256,700,712,696,838,1086,994,812,955,925,849,752,766,686,536,382,331,261,238,212,174,144,96,96,125,63,18,18,25,21,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,147,9,0,0,44,0,21,11,142,
,"CAR",3099,428,888,1504,2195,2327,2669,5964,5931,6267,6671,7112,6897,5688,6361,6826,6916,6555,7096,6683,5913,5104,4512,3957,3596,3362,3035,2617,1966,1761,1573,1166,783,771,1080,687,421,213,130,63,43,41,42,39,26,31,23,8,0,6,5,6,3,8,7,8,4,0,4,11,31,26,22,39,17,13,7,20,70,127,414,60,23,43,141,9,180,67,5464,
,"BIKE",38,26,96,171,281,305,305,619,500,457,392,362,265,221,206,189,187,152,118,99,78,56,43,35,31,16,19,11,8,5,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,4,0,50,
,"WALK",230,1181,1749,1517,1488,792,716,480,202,80,67,68,35,20,35,35,24,14,26,29,17,12,13,6,10,10,3,6,3,0,3,4,0,3,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,11,21,113,14,5,15,62,0,39,15,90,
"Launceston","PT",7,0,3,9,9,14,34,55,102,82,63,43,27,17,16,9,5,8,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,4,15,27,14,
,"CAR",583,224,448,717,985,1267,1245,2519,2588,2655,2339,1812,1239,898,854,772,716,652,343,352,318,291,250,236,155,122,75,78,60,63,47,61,57,43,81,72,81,59,51,52,66,73,70,126,121,115,60,32,33,28,18,32,13,9,9,11,12,11,5,24,36,48,27,16,8,9,35,18,159,89,7,0,0,77,16,0,77,35,1164,
,"BIKE",4,3,8,20,21,27,28,26,29,21,18,13,11,7,10,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
,"WALK",60,149,294,325,262,156,96,98,50,36,27,12,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,0,0,9,0,0,17,15,26,
"Hobart","PT",41,5,23,41,75,107,158,348,418,398,458,423,344,230,187,178,204,251,208,162,103,54,44,84,74,34,34,30,33,25,22,28,9,7,17,25,11,18,16,11,7,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,19,0,33,41,84,
,"CAR",1765,472,825,1357,1740,1953,2036,3627,3393,3324,3286,3237,3131,2680,2577,2298,2350,2355,2189,2152,1737,1447,1337,1637,1429,1169,1201,900,867,968,893,776,610,478,775,656,485,428,426,433,235,192,108,113,108,86,65,54,38,30,31,24,21,20,19,15,19,18,12,42,26,14,18,25,14,4,6,4,97,65,68,38,7,10,101,9,139,73,2970,
,"BIKE",9,12,19,39,72,100,105,142,111,81,81,62,55,57,27,29,17,22,11,7,3,9,10,8,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,4,12,
,"WALK",176,469,787,907,937,644,459,371,168,82,69,39,26,18,11,13,16,8,16,5,6,0,3,3,7,0,3,4,0,0,6,0,3,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,9,3,3,0,0,19,0,60,27,55,
"Wollongong","PT",80,34,33,64,122,117,125,322,284,171,159,105,121,117,91,89,68,98,84,88,68,53,44,32,53,47,37,36,25,16,19,6,12,15,31,35,24,26,21,20,15,26,43,104,188,197,110,78,43,77,114,158,311,264,211,227,229,262,302,428,319,244,230,208,49,24,7,0,0,11,4,0,0,13,0,10,21,98,197,
,"CAR",2216,713,1242,2019,2156,2544,2615,4777,4604,4012,3587,3316,3298,3173,2800,2331,2199,2410,2666,2542,2138,1784,1859,1702,1513,1366,1066,975,920,874,650,581,547,479,815,727,569,490,490,522,549,565,525,604,577,603,602,619,507,560,588,536,549,563,563,559,499,488,477,847,723,664,569,589,347,129,53,28,45,170,69,59,42,60,45,100,94,77,4764,
,"BIKE",10,7,24,36,45,46,49,80,56,39,29,27,20,24,27,21,19,10,12,10,5,6,6,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,
,"WALK",220,489,680,646,334,203,102,139,51,33,19,3,13,11,4,6,11,7,0,4,4,4,3,6,4,3,0,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,0,0,0,4,4,3,4,4,3,4,6,3,6,3,17,7,3,4,0,6,13,5,0,7,27,3,12,27,10,40,
"Sydney","PT",3671,1751,1506,2331,4368,6692,8498,19412,23064,26183,25231,23011,21243,19149,16954,16030,16182,16739,15976,15239,13819,13205,12522,11213,10833,9588,9846,10292,10423,10059,9253,7854,6625,6506,11615,9388,8123,7187,6980,5639,4248,2956,2358,2249,1995,2501,2370,2027,1057,880,775,600,518,627,722,820,972,993,930,2211,1418,964,600,476,187,48,34,49,149,119,207,41,48,158,83,698,261,515,7068,
,"CAR",40611,11808,14779,21173,25510,27942,29638,61622,62139,60841,57278,53948,51316,48799,46121,43425,41178,38783,35970,33200,30498,28709,27304,25590,24145,22554,21081,19880,18396,17087,15794,14328,13416,12020,21644,19188,16407,13376,11174,9434,7803,6564,5589,4739,3940,3636,3100,2730,2248,1956,1812,1675,1619,1565,1582,1487,1327,1305,1358,3158,2429,1802,1325,1727,978,415,326,354,1236,499,959,361,335,919,446,2470,867,586,72017,
,"BIKE",269,186,380,694,883,952,984,1824,1654,1484,1167,1067,827,592,494,374,325,273,201,195,149,135,128,105,104,99,66,69,47,42,26,31,24,41,39,35,21,19,10,7,10,10,8,9,10,0,3,0,0,8,3,0,0,6,12,17,0,3,4,0,4,0,5,0,3,4,0,3,4,0,25,9,0,10,0,31,9,19,259,
,"WALK",3758,11822,19135,15839,11822,8588,5466,5010,2199,1089,581,412,303,211,177,179,149,139,126,120,111,108,81,69,80,68,72,73,71,57,71,47,40,42,77,63,57,32,39,31,21,18,27,10,19,19,18,7,17,17,13,11,10,17,67,23,8,15,16,41,43,19,34,21,13,12,10,15,100,40,167,47,40,192,78,409,195,163,1140,
"Newcastle","PT",61,29,21,56,98,128,140,311,310,304,322,303,211,189,186,128,95,100,69,90,75,88,102,72,48,38,48,46,56,44,47,63,44,44,59,62,56,40,15,20,22,12,11,10,7,4,6,8,3,6,15,8,16,7,0,8,6,9,8,24,12,16,8,28,60,81,105,252,199,4,12,3,6,8,28,11,42,161,137,
,"CAR",3732,1244,1939,2797,3443,3928,3997,8131,7710,7398,7496,7133,6728,5963,5605,4991,4441,4250,3888,3801,3474,3151,3005,2546,2173,2140,2058,2023,1955,1896,1882,2019,1801,1606,2875,2552,2009,1580,1341,1144,1106,973,921,714,635,511,436,448,370,311,281,351,290,251,233,273,272,238,221,458,331,291,244,301,281,342,461,645,924,172,203,71,103,211,153,96,205,178,7973,
,"BIKE",6,20,59,91,156,162,138,229,180,129,125,82,59,48,60,34,26,11,20,18,27,9,12,12,10,4,0,0,0,4,3,5,3,4,6,4,3,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,3,7,0,5,6,22,
,"WALK",313,791,1016,704,498,331,190,232,119,56,36,36,29,18,17,14,17,10,8,4,11,4,13,9,8,0,4,8,5,4,5,7,5,11,7,3,8,3,3,0,0,3,6,0,0,0,3,5,0,4,0,4,0,3,5,0,0,0,0,3,0,0,0,5,5,10,16,30,58,6,18,9,13,42,17,19,35,29,76,
